c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
12004,Customer#000012004,667424.0692,3877.21,MOZAMBIQUE,"JAYaQ70ZOh7mhvBen64uxuZy6yU,4bLEvDdeodg",26-771-863-2556,"ges boost blithely unusual theodolites. final, special sheaves haggle. fluffily"
35194,Customer#000035194,616622.2735,7558.44,RUSSIA,P46KOQtr kvORDFGHd,32-839-374-1719,e the bold deposits are fluffily slyly express foxes. special asymptotes cajole special instructions
20782,Customer#000020782,615939.9862,5379.43,INDIA,"rVLjtA4,hMEQcaFNWtMsw2,G20CESHng4ga3t ",18-532-941-2752,egular excuses boost around the even orbits. quickly final requests about the deposits af
141919,Customer#000141919,607811.949,9113.41,FRANCE,Pjkmyt6yKirjf 0VrSJHrW4w7QZgJTZ7CIYpEvYk,16-717-716-6838,und the blithely final theodolite
36955,Customer#000036955,603466.1055,4273.83,JORDAN,bEr8qC0sjs8,23-358-928-3932,"egular, special requests boost fluffily ironic packages. fluffily expres"
108556,Customer#000108556,600884.1808,-782.1,JORDAN,MPAhUFD7 V3E9hzbrWVHa5wb,23-701-569-8884,. carefully even theodolites sleep furiously ironic dependencies. ironic instructions wake furiously. even 
53515,Customer#000053515,598691.1346,1922.25,ALGERIA,"DROhqAWg8WaJhmSEQM7Whr,LS43lwyypqSnGw",10-939-113-7942,the bold accounts use within the bold accounts. fluffily regul
70054,Customer#000070054,598649.3091,-244.35,JAPAN,kjn YwCizoSR3JrHxZRs1A1uEHZwLbWHJ ,22-764-678-5276,sits nag slyly regular foxes. unusual accounts about the regular packages m
16012,Customer#000016012,593728.7913,1395.92,BRAZIL,ieRc2utwOWiKuhjw7jvjN,12-744-828-6707,carefully carefully regular ideas. furiously ironic accoun
14497,Customer#000014497,591470.3444,6236.16,UNITED STATES,cQ9stIuKpcaoF3,34-734-123-8911, pinto beans use blithely. regular deposits breach carefully
115181,Customer#000115181,585943.1483,7698.5,RUSSIA,"cWeD7YrpCmTxZ84C1NshSf7lt,OoyjMgZxGug",32-102-492-1341, final packages. slyly regular deposits wake final packages
86629,Customer#000086629,583967.175,3714.27,BRAZIL,x5g62I qFSWqwDz,12-789-964-5639,e ironic ideas. furiously even requests above the furiously final platel
120640,Customer#000120640,583789.7308,9010.67,JORDAN,"qEmQ7VVjecJMkh2,JeCjWdnezxccOgTjI7O",23-975-945-1368,"lly about the pending, ironic courts. furious dolphins haggle blithely ironic accounts. pac"
72103,Customer#000072103,576935.4527,9876.72,UNITED KINGDOM,L3V5LeoNhvH4S4TaQOq4txexsv4RHpCt,33-782-501-7865, accounts. dependencies instead of the silent requests wake quickly furiously qui
53026,Customer#000053026,574908.5919,6626.67,KENYA,TOzwPRydsi2XWDJdklk0TAJErRdta,24-657-445-1672,ely instructions. blithely even pinto beans nag blithely slyly pending foxes. ide
23345,Customer#000023345,574204.2111,3828.12,JORDAN,QPiNi9PMIl2kP,23-431-652-9983,"s; special, bold foxes sublate carefully final foxes. quickly pending ideas across the even, pending theodolites w"
73231,Customer#000073231,571065.2236,82.58,SAUDI ARABIA,"SEHxgJfCl15,iQiGwOc",30-339-289-8407,onic tithes. bravely pending requests haggle quickly packages. carefully regular accounts cajole furiously 
62209,Customer#000062209,570120.0569,3285.72,JORDAN,3JUVPp2Ibo9DhwEXG7QqBg Q,23-304-235-2470,e furiously ironic excuses. slyly even deposits use blithely regular packages. bold packages use slyl
76528,Customer#000076528,567238.2713,7924.08,KENYA,Ni4kSXUxORjKUcmrnR,24-182-139-4774,ilent packages. carefully iron
62171,Customer#000062171,562905.5891,1545.77,IRAN,1 Ev82kMrKyV4OAh4Df8,20-239-436-4843,slyly bold pinto beans. fluffily ironic
127,Customer#000000127,562601.7823,9280.71,VIETNAM,4tKMWo3Y 3hu3ttNZ1WTgMf5m3efLWqLOH,31-101-672-2951,should use slyly among the blithely regular pinto beans. furiously unusual dependenc
130708,Customer#000130708,556861.6837,955.17,GERMANY,NPJjmf CInNftMcZLtSfDdE,17-302-945-9502,"heodolites sleep regular dependencies. ironic, even warthogs are regularly requests. packages among the"
131521,Customer#000131521,556560.5375,2366.43,GERMANY,4iQESWduCaK,17-487-507-3399," dolphins about the final, regular foxes are slyly according to the slyly express dependencies. final excuses a"
143380,Customer#000143380,556029.7692,194.13,ROMANIA,7VmA6MhRyX4nQrzsCZpyELCakFbpfMCC5u1,29-200-708-3862,s. regular requests sleep thinly permanent requests. 
5494,Customer#000005494,547220.9665,4395.28,KENYA,4wdRWeQwjpszTijYT 14rzDZUp,24-327-597-4131,"pinto beans boost blithely slyly even ideas. even, even ideas sleep among the fray"
934,Customer#000000934,543602.0985,-592.69,JAPAN,7eqloc2LouErfJQwtCm2D6Rk1pT7c9p3,22-119-576-7222,ll wake fluffily blithely quick packages. furiously final accounts integrate bold instructions; r
41833,Customer#000041833,543351.9363,6881.01,ROMANIA,jbguQio8FrI,29-118-745-8725, believe across the slyly special deposits. 
12511,Customer#000012511,539964.8213,4996.62,FRANCE,"uV2ar,j93G1xy273scRGNMqX gd8sRKnjK",16-946-680-3463," requests are against the sly theodolites. ironic, pending pla"
71042,Customer#000071042,538894.776,103.23,UNITED KINGDOM,"3O,4,fqTdUxeOoHu",33-987-158-3255,kages wake. express theodolites are quickly. packages after 
123523,Customer#000123523,538097.2254,9418.62,KENYA,kGHTyLozsnFoWgbIk8r,24-360-951-4517,"s the final, pending instructions. deposits haggle blithely express deposits. iro"
41767,Customer#000041767,536860.4635,7417.56,UNITED STATES,1yNJlv 5oNzO,34-890-499-7311,nts wake evenly express hockey players. regular instructions haggle even deposits-- carefully 
101011,Customer#000101011,536012.8216,2538.27,ALGERIA,xLdprjy0HVi,10-797-618-9907,special requests affix slyly alongside of
119453,Customer#000119453,534634.9998,6255.4,JAPAN,SSmbFmBFzcuTY7FI Ubi,22-460-744-4544,cial requests; blithely ironic foxes about the final theodoli
7834,Customer#000007834,529599.6757,1157.44,IRAQ,jmUgAlCh4TPJLIFDPoonm  u5Eo4lvgSzNlLV4,21-734-793-5086,. pending accounts integrate always. slyly final dependencies sleep carefully. quietly pending requests wake
58228,Customer#000058228,528111.3677,1768.14,VIETNAM,"24zbIV5U OaH,ct0NAE,AwK031",31-918-901-9506, ironic accounts according to the accounts are blithel
80593,Customer#000080593,525458.1168,5247.34,INDIA,"ieIiCTH4yxeJC0WBns,vNYTNd4QFdKBho",18-890-536-9276,"lyly pending accounts. regular, bold ideas cajole furiously i"
15208,Customer#000015208,524248.8254,-543.78,MOZAMBIQUE,uQipFgLoxo,26-190-803-8949,"ecial deposits according to the even, pending deposits affix fluffily among the blithely fina"
29320,Customer#000029320,524098.9679,6160.21,ETHIOPIA,F39KLAJwOGqgEn LEmjYkYMxAvvv6aCq5TJX,15-779-542-9282,s wake slyly. furiously pending pinto beans affix even escapades. packages run carefu
96427,Customer#000096427,523653.4933,9322.03,UNITED STATES,"SblHaLMvK,1S32iV",34-722-972-7295,lly ironic deposits should are. furiously regular ideas after the quickly express requests 
50299,Customer#000050299,519383.9154,8864.39,KENYA, p8M6PaMkgu2hXYFm,24-294-638-3850,ely across the requests. never s
41176,Customer#000041176,518062.2777,5307.67,FRANCE,pW Z4LKFjdz1,16-201-303-1724,"ve blithely among the carefully slow accounts. close, ironic accounts abo"
66601,Customer#000066601,517953.3046,3135.16,MOROCCO,"V5BSaXrrPde98h3f2IM62,AEBPT",25-744-148-9043,inal deposits nag packages! unusual gifts wake 
29053,Customer#000029053,517354.4642,3016.67,RUSSIA,vDUygQ6ScYR5 rXcCZyFBnBD77f0PR1G3FicYnF,32-329-683-4503,"posits. ironic, ironic pinto beans haggle slyly. carefully reg"
5635,Customer#000005635,515428.9351,641.15,ETHIOPIA,l388dJqyVg,15-195-235-5465,"nts are busily express, unusual requests. furiously unusual deposits lose blithely! entici"
98830,Customer#000098830,511816.5475,8341.78,EGYPT,"6m5uXJYJd0uWhDmIMoXG VAe,Y8V6h M",14-552-503-9821,"ular packages impress about the ironic, regular deposits; bli"
73900,Customer#000073900,511729.1785,9459.26,ETHIOPIA,I0QAIY6d4ErhuefHDMKx30Qj9,15-167-507-6693,s alongside of the furiously final accounts haggle slyly express
41701,Customer#000041701,511334.6256,5335.75,INDIA,3TdvrxnXPySA6pYuc2ibrMoZHJ5srOysz,18-276-760-2207, requests wake alongside of the deposits. fluffily bold instructions must sleep slyly among t
24100,Customer#000024100,511244.7885,9141.97,IRAN,"cm0md,75Qd4h",20-632-653-1381,ironic requests. regular pinto beans in
103780,Customer#000103780,510981.0359,7809.66,ETHIOPIA,"BEoQYkXmse79WcUW5p,LtIzmnT",15-355-745-3509,"nic instructions integrate unusual, final requests. quickly quick requests detect. blithely pendin"
76786,Customer#000076786,509692.2766,462.37,JAPAN,hCfJaFVi6RAqGhKybiwbDDk6b9,22-775-169-5533,re blithely. furiously final accounts doze slowly. quickly even pains cajole furiously abo
86902,Customer#000086902,509416.3439,2267.28,FRANCE,G9BKYbYUbuXkNw81Fo0qhA4br6bnwTTbBAVDqX,16-529-373-4171,d the regular packages? blithely final theodolites would boost slyly; carefully idle dugouts are 
129031,Customer#000129031,508342.676,8013.44,CHINA,"NT8t,EkU8YJrv5GrAE1KWQzfq6iDdHn0EdKT",28-276-461-7091,e furiously across the thin orbits. even pinto beans wake. blithely final dolphins haggle. 
75655,Customer#000075655,508171.8711,5835.21,VIETNAM,"pKatffMAKPE9DCYIK,wM0T94ggHjYNB9dZ1w",31-890-339-6900,unts among the quickly pending accounts ha
32254,Customer#000032254,507769.5856,5182.59,MOROCCO,XgedcVo4t 8NEG,25-839-187-6994,"e carefully unusual dependencies! ironic, regular foxes thrash slyly carefully quick requests. slyl"
146830,Customer#000146830,506769.0322,8924.32,INDIA,"dO4ffuY Q,zneYek",18-962-252-5937,es could have to are blithely acros
42418,Customer#000042418,506338.0662,1602.87,INDONESIA,U0WZ C4DW72Jio,19-112-449-9312,ges nag up the closely regular pinto beans. silent deposits boost about the flu
77701,Customer#000077701,501216.4154,-640.04,FRANCE,UZ5OyrQ9DneUJJMSPSsCtDr8fIRsgKG7A99,16-348-612-5396,atelets cajole furiously regular accounts. slyly regular deposits serve blithely upon the blithely speci
19702,Customer#000019702,501106.4519,582.08,SAUDI ARABIA,8nXwm4 tbAIyF0AFB2 hD3RCfrtN DHLd,30-874-303-1677, pending instructions boost fluffily quickly even platelets. regular requests wake never e
140689,Customer#000140689,500825.2572,3607.76,IRAQ,"ohhOhstHXJH7F,43Z8eEItxl07l,6kxa1xS0",21-457-429-9862,r accounts are furiously according to the carefully regular courts. requests sublate sl
109600,Customer#000109600,500735.5419,2418.9,UNITED STATES,"bbW 2,VNKJjmxA9fGBo",34-505-715-2191,uffily regular ideas are fluffily. furiously regular pinto beans cajole-- fluffily express deposi
