c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
90994,Customer#000090994,730322.8364,7964.2,JORDAN,FPO1aam9gxCzs6nt9eQtbvnm3TbYMBHJV,23-191-141-7416,"ons across the regular, regular depen"
146756,Customer#000146756,703786.0197,107.25,EGYPT,54jrLIznGgDwxSHJ721EvoXjegi2mnEn7,14-321-449-8957,e blithely permanent requests. final packages sleep even theodolites. slyly re
36376,Customer#000036376,690104.3892,8597.08,EGYPT,w85Ca  YPsoDfloRGRWNqqQl4L,14-523-414-8389,ly regular depths. ironically even pinto beans play:
137710,Customer#000137710,654322.3938,512.19,RUSSIA,cKIp2fY2VJoewudhsvw5Y2VwnJkwG2x1xQJw o,32-925-523-8947,uests haggle. packages after the slyly final patterns integrate a
84055,Customer#000084055,641329.6081,4318.55,MOROCCO," 92aWC9xV70Myno,DNFeNpGo7WG",25-505-122-1521, even courts. furiously ironic packages hinder quickly slyly regular deposits. slyly regular theodolites
125341,Customer#000125341,634427.6468,4983.51,GERMANY,9YRcnoUPOM7Sa8xymhsDHdQg,17-582-695-5962,ly furiously brave packages. quickly regular dugouts kindle furiously carefully bold theodolites. 
91972,Customer#000091972,626473.9908,5606.88,JAPAN,"CjahpVtBEEN,TPG",22-975-188-8726, hang fluffily furiously even ideas. silent foxes sleep furiously unusual pinto beans; fu
138763,Customer#000138763,610154.343,9858.75,ALGERIA,"ybnHItGmWskbL0Cx4JGRBECfjX uQFswSL1,",10-841-461-4873,ns. carefully pending accounts detect never along the carefully unus
64298,Customer#000064298,609078.1864,7003.85,PERU,"1t,fldttwqjSwn2KBrSHHs",27-265-117-6068,across the slyly unusual excuses. blithely bold foxe
148126,Customer#000148126,601322.9515,6193.01,BRAZIL,KMwEX4FBuUnRMUjRVVhFEhP78XU6MXyW,12-508-455-5443," blithely after the regular, even packages. pinto beans boost furiously warhorses. ironic deposits are attai"
148015,Customer#000148015,598849.0336,264.75,SAUDI ARABIA,3W7rk2ZAYuKZ5Z0WIvkNvbol K7O0FQtQ,30-919-347-1671,oach quickly. slyly silent ideas wake slowly furiously express 
36985,Customer#000036985,598730.607,9233.98,ARGENTINA,"L4g89ZGfQlTmBFhnL1,9O,4B6VVfFUEbTV58",11-601-462-5744,ges wake carefully. regular requests run slyly. fluffily special patterns above
53806,Customer#000053806,595638.9198,1026.26,ETHIOPIA,UPW yZJ1rhQ2o giefB0vtMCUqMUIWntvujZFnnH,15-204-530-5443,"fully ironic accounts. even, regular deposits haggle. requests "
122599,Customer#000122599,594108.8847,9369.27,KENYA,"qdfDw5IcNBWelB8BU1iag,WL4xcvpf0h",24-516-880-5086,egular pinto beans alongside of the carefully pending instructi
119503,Customer#000119503,593134.2513,6581.07,CHINA,7kuYzm7Rz qI3o1ZcbRkzoWSuFeH,28-562-176-7568,y. slyly unusual ideas are beneath the requests. requests are care
120412,Customer#000120412,586708.4167,3816.86,MOZAMBIQUE,86o338ALHGQPD9SsWa04A11R8HI57xK1,26-942-947-6036,"the final, unusual ideas. careful"
41326,Customer#000041326,584253.2308,6150.39,ARGENTINA,"NSzOBoZghJRNK0T8Uk7cJXA,nz8K6Y,vM",11-827-403-2570,uests alongside of the ironic requests print among the regular pains: bli
15127,Customer#000015127,577445.1836,7061.58,VIETNAM,ta6xxra pV OLCfimS1jkWZIeovaDdT,31-903-342-2961,unts. theodolites against the bold theodolites wak
61858,Customer#000061858,571051.0927,-574.88,BRAZIL,uDvdDMLYIK4UkRfYElD3CpXemG1HnJEA,12-390-479-1121,ular requests. carefully regular deposits according to the p
134533,Customer#000134533,570965.579,3241.99,CANADA,gXftBYvq5bV,13-127-698-5142,t blithely? blithely final requests mold slyly. blithely regular pinto beans haggle furio
